,DATETIMERECEIVEDUTC,DATETIMECOMPLETEDUTC,WORKORDERREFNO,OBJECTID,FACILITYID,INTID,COUNCILDISTRICT,SERVICERECORDID,SERVICECATEGORY,DATETIMERECEIVED,STATUS,DATETIMECOMPLETED,DETAILSUMMARY,LATITUDE,LONGITUDE,IMAGENAME,HYPERLINK,MYSANJOSEREFNO,LASTUPDATETHIRTYDAYS,LASTUPDATE,NOTES,ENTERPRISEID,GlobalID
42,1665936043000,1666119600000,WO-0000538038,43,142873,142873,8,1119419,Debris & Illegal Dumping,1665910843000,Closed,1666094400000,,37.2865921,-121.7759523,,,221016-000052,1663538498000,1666155700000,"Piles of garbage, tents. Across the street, other side of Silver Creek Valley Rd, along SCV trail",IWM-ILDM-0000142873,{E84C4E0E-6561-4D51-9F45-26180B0DE152}
43,1600818772000,1601046780000,WO-0000369347,44,92850,92850,3,603119,Debris & Illegal Dumping,1600793572000,Closed,1601021580000,"2 Construction Debris , 15 Garbage , 3 Mattress , 2 General Debris , 5 Other E-waste , 4 Other Furniture , 2 Shopping Cart",37.3618962,-121.8988612,,,200922-000557,1598479394000,1601096605000,"Large assortment of clothes, shoes, metal, cardboard,  etc. Saw someone from Cupertino Electric dumping this",IWM-ILDM-0000092850,{F80F8DC6-5456-40FE-ADA7-362DB3713082}
44,1629141636000,1629488700000,WO-0000451429,45,117705,117705,2,799793,Debris & Illegal Dumping,1629116436000,Closed,1629463500000,"1 Garbage , 1 General Debris",37.2662283,-121.7902343,,,210816-000531,1626904918000,1629522129000,.5 m south of Dove Avenue,IWM-ILDM-0000117705,{99CCB5E5-F743-4169-9EDE-D2887A2F6DE2}
45,1518105277000,,WO-0000093894,46,26290,26290,7,118510,Debris & Illegal Dumping,1518076477000,Closed,,,37.29804993,-121.86925507,,,180208-000041,1598363381000,1600986109000,Several bags of garbage and a few other items have been here for the last two day. Please pick up. Thank you.,IWM-ILDM-0000026290,{3ABA50E6-B612-405B-9AA4-242B69D98F66}
46,1609274781000,1609341240000,WO-0000390282,47,98466,98466,6,641678,Debris & Illegal Dumping,1609245981000,Closed,1609312440000,,37.3330218,-121.89754759,,,201229-000304,1606723281000,1644606315000,Sidewalk on Santa Clara St and Guadalupe Park.  What will it take for Mayor and Raul Peralez to be utterly embarrassed by state of Guadalupe Park. Why do I have to report so often?  Why can’t city proactively maintain this area.  I’ve paid my taxes and ..,IWM-ILDM-0000098466,{41A72B0C-EAFF-4B75-8C94-6A7989D8298B}
47,1649529180000,1649529300000,WO-0000500355,48,131134,131134,5,,Debris & Illegal Dumping,1649503980000,Closed,1649504100000,2 General Debris,37.3400078,-121.8303283,,,,1646913707000,1649530910000,General debris,IWM-ILDM-0000131134,{AB5F23EA-9CAA-4103-8647-5D5500B8FD5F}
48,1608509580000,1608510600000,WO-0000389058,49,98152,98152,5,,Debris & Illegal Dumping,1608480780000,Closed,1608481800000,,37.336028,-121.820007,,,,1607292086000,1609912893000,trash bag in road,IWM-ILDM-0000098152,{7FFF29E6-B3F0-4424-B3A1-8624576A9F8B}
49,1523223810000,1523906280000,WO-0000109228,50,29734,29734,7,144515,Debris & Illegal Dumping,1523198610000,Closed,1523881080000,"4 Garbage , 1 General Debris",37.31254196,-121.86395264,,,180408-000141,1598362811000,1600986109000,Junk dumped,IWM-ILDM-0000029734,{43385DB5-D5C9-4FF8-AE88-88F38958FB0B}
50,1527013698000,1527605280000,WO-0000120565,51,32288,32288,5,163645,Debris & Illegal Dumping,1526988498000,Closed,1527580080000,"2 Couch , 2 Other Furniture",37.3519861,-121.8514122,,,180522-000206,1598363361000,1600986109000,Hello someone dumped small couches in a red zone using it as a dumpster.,IWM-ILDM-0000032288,{AD33E028-F222-4BA0-AC42-9FD98AAB10F4}
51,1526417520000,1526419235000,WO-0000118709,52,31930,31930,2,,Debris & Illegal Dumping,1526392320000,Closed,1526394035000,1 Couch,37.256586,-121.840137,,,,1598363194000,1644606315000,cs Avenida Manzanos couch on sidewalk rp has video that she will email in to imwcompliance@sanjoseca.gov,IWM-ILDM-0000031930,{0E857245-5796-46D9-91F3-E3661457E197}
52,1608581817000,1609265280000,WO-0000389184,53,98189,98189,3,639233,Debris & Illegal Dumping,1608553017000,Closed,1609236480000,,37.32984099,-121.8764683,,,201221-000249,1606687292000,1609308097000,Illegal Dumping behind 633 S 8th in the alley. Lots of garbage about 10 feet by 4 feet. Please take immediate action to get it cleaned.,IWM-ILDM-0000098189,{C6B9114E-DD5D-4907-8F1C-FFE6C4B1457A}
53,1556635884000,1556901120000,WO-0000218491,54,54206,54206,6,321546,Debris & Illegal Dumping,1556610684000,Closed,1556875920000,,37.34693237,-121.92713086,,,190430-000055,1598363166000,1644606315000,A black dresser has been abandoned on the sidewalk.,IWM-ILDM-0000054206,{2AB3A5DF-5B78-4275-A54F-408FCFFB498A}
54,1619449980000,1619450700000,WO-0000419265,55,106896,106896,3,,Debris & Illegal Dumping,1619424780000,Closed,1619425500000,1 General Debris,37.330404,-121.876241,,,,1616846470000,1619463705000,c/s E Reed St misc debris,IWM-ILDM-0000106896,{61B71D00-A5CA-4A9D-A8B4-145E3CAC738B}
55,1655851619000,1655912460000,WO-0000514163,56,135719,135719,7,1024255,Debris & Illegal Dumping,1655826419000,Closed,1655887260000,"4 Garbage , 1 General Debris , 2 Other E-waste",37.3356179,-121.8411603,,,220621-001065,1653307299000,1655924501000,A shopping cart full of items was left on Florida Ave heading towards Scotty St.,IWM-ILDM-0000135719,{6A8DE088-90D0-4425-9E6B-CEDE12B66F85}
56,1642611840000,1642611960000,WO-0000484111,57,126279,126279,5,,Debris & Illegal Dumping,1642583040000,Closed,1642583160000,3 Garbage,37.338167,-121.82737,,,,1639998097000,1642618899000,c/s Alfred Wy. Garbage,IWM-ILDM-0000126279,{D7BE37E6-09DF-4F08-9218-2850F55B6FEB}
57,1652666724000,1652797920000,WO-0000507149,58,133494,133494,3,994768,Debris & Illegal Dumping,1652641524000,Closed,1652772720000,"1 Construction Debris , 2 Garbage , 3 General Debris",37.3442264,-121.8781635,,,220515-000352,1650232890000,1652850093000,Southeast corner of 14th in St. John,IWM-ILDM-0000133494,{4BA575E8-CDD5-4CDF-A5AF-43CF35F28249}
58,1550702466000,1550771400000,WO-0000198082,59,49759,49759,2,287864,Debris & Illegal Dumping,1550673666000,Closed,1550742600000,"1 Construction Debris , 1 General Debris , 2 Other Furniture",37.2563977,-121.82181325,,,190220-000427,1598362907000,1600986109000,Furniture in the roadway blocking red zone,IWM-ILDM-0000049759,{5D110482-3800-4E56-B07F-6DE28C4B0348}
59,1631665627000,1631732400000,WO-0000458515,60,119449,119449,4,823867,Debris & Illegal Dumping,1631640427000,Closed,1631707200000,,37.377688,-121.8605013,,,210914-000891,1629115271000,1631732474000,"There is garbage being dumped all down the street from homeless people and people dumping. There are large pieces of metal, headboard, tires and garbage bags",IWM-ILDM-0000119449,{91F51ACF-6EEF-4D10-ABAB-963B53A619BD}
60,1531585337000,1531947900000,WO-0000136110,61,35886,35886,5,187048,Debris & Illegal Dumping,1531560137000,Closed,1531922700000,,37.34573374,-121.82736207,,,180714-000043,1598363156000,1600986109000,"This street has garbage for months, sweeper never cleans here",IWM-ILDM-0000035886,{1C44C95F-2893-49F4-BB93-E7DF1850B043}
61,1528124796000,1529942580000,WO-0000123580,62,33024,33024,6,168631,Debris & Illegal Dumping,1528099596000,Closed,1529917380000,,37.31986948,-121.89176627,,,180604-000035,1598363323000,1644606315000,Bed frame,IWM-ILDM-0000033024,{DB416CE4-63A4-4B27-8A73-47B65D2237AE}
62,1590598875000,1595608740000,WO-0000356411,63,88709,88709,7,541100,Debris & Illegal Dumping,1590573675000,Closed,1595583540000,,37.312772,-121.842871,,,200527-000194,1598362949000,1600986109000,Across the street from the address bookcase and litter.,IWM-ILDM-0000088709,{7BA786F4-3734-4873-93BD-B71CB4CA1059}
63,1539561598000,1540052460000,WO-0000163978,64,42343,42343,7,231548,Debris & Illegal Dumping,1539536398000,Closed,1540027260000,23 Garbage,37.29311959,-121.81367073,,,181014-000161,1598362867000,1600986109000,Garbage bags been there over 2 weeks - maybe somebody moved iu,IWM-ILDM-0000042343,{07440F3C-9F42-473F-B8D2-4798F98D540F}
64,1566055136000,1566271200000,WO-0000254251,65,61966,61966,5,381839,Debris & Illegal Dumping,1566029936000,Closed,1566246000000,2 Mattress,37.3764916,-121.82617184,,,190817-000023,1598362760000,1600986109000,Mattress,IWM-ILDM-0000061966,{91200025-81D8-41FC-95C3-5F94C76A891B}
65,1628700065000,1628800560000,WO-0000450330,66,117417,117417,3,795989,Debris & Illegal Dumping,1628674865000,Closed,1628775360000,,37.346875,-121.89155941,,,210811-000207,1626199282000,1628816484000,"Furniture, trash. N 6th and Empire",IWM-ILDM-0000117417,{B19804B5-66AE-4FC2-BEB2-9C0A8B681241}
66,1629218956000,1629724680000,WO-0000451625,67,117754,117754,3,800625,Debris & Illegal Dumping,1629193756000,Closed,1629699480000,,37.3493091,-121.88887813,,,210817-000209,1627164108000,1629781318000,Mattress dumped on N9TH STREET CLOSEST ADDRESS IS 520 N 9TH STREET,IWM-ILDM-0000117754,{627F1FF5-C079-4B2E-A7C8-C1735F83FC7B}
67,1626745894000,1628191740000,WO-0000443815,68,115205,115205,3,776217,Debris & Illegal Dumping,1626720694000,Closed,1628166540000,,37.34125669,-121.85984645,,,210719-001112,1625608891000,1628226116000,Trailer has been parked here for 2 weeks throwing trash under the trailer & the person moved the trailer across the street but left trash there on the ground .,IWM-ILDM-0000115205,{2F009A01-4B5F-48F7-B796-2E71505AE400}
68,1664399820000,1664401440000,WO-0000534525,69,141721,141721,10,,Debris & Illegal Dumping,1664374620000,Closed,1664376240000,1 General Debris,37.226766,-121.776935,,,,1661796097000,1664413298000,Junk,IWM-ILDM-0000141721,{A6CEB18D-7CAB-429F-B2E2-6000CE4A0341}
69,1474757940000,1474752600000,WO-0000019808,70,8326,8326,1,,Debris & Illegal Dumping,1474732740000,Closed,1474727400000,2 Construction Debris,37.301436,-122.032034,,,,1598362523000,1600986109000,picked up sheet metal from middle of intersection of hwy 85/De Anza,IWM-ILDM-0000008326,{89A07B68-F7B9-4210-BC4C-6B578EAA2854}
70,1593564942000,1594237200000,WO-0000351406,71,87050,87050,3,565900,Debris & Illegal Dumping,1593539742000,Closed,1594212000000,,37.32685722,-121.87391629,,,200630-000545,1598362800000,1600986109000,Corner of S. 8th and Martha,IWM-ILDM-0000087050,{2C39A5E6-8743-4ACC-A4EE-172CEB961588}
71,1628046379000,1629400260000,WO-0000448375,72,116813,116813,7,789629,Debris & Illegal Dumping,1628021179000,Closed,1629375060000,1 Mattress,37.2872263,-121.8337457,,,210803-000860,1626818493000,1629435708000,Cedric and cas turn,IWM-ILDM-0000116813,{599AA7A8-7977-428E-9689-547376E85891}
72,1628297239000,,WO-0000449237,73,117114,117114,8,792442,Debris & Illegal Dumping,1628272039000,Closed,,,37.29972907,-121.77177429,,,210806-000799,1625954528000,1628571759000,"The Alum Rock Exit  off of 680 is full of trash, tires even a bumper.",IWM-ILDM-0000117114,{CE0967DC-0DC8-40BC-BC1F-F204B2391D47}
73,1540424153000,1540827120000,WO-0000167014,74,43028,43028,3,236523,Debris & Illegal Dumping,1540398953000,Closed,1540801920000,,37.33227221,-121.87189277,,,181024-000450,1598363171000,1600986109000,Mattress and other items,IWM-ILDM-0000043028,{F70CC514-7D9F-4186-BF3D-493FF6A90C19}
74,1614370731000,1614716520000,WO-0000403445,75,102412,102412,1,667517,Debris & Illegal Dumping,1614341931000,Closed,1614687720000,,37.31373432,-121.94845782,,,210226-000196,1612130491000,1614751299000,Magliocco Dr,IWM-ILDM-0000102412,{3A540681-ADF5-49C1-8500-A66A44DD6DF4}
75,1605468746000,1605656640000,WO-0000382155,76,96348,96348,3,626126,Debris & Illegal Dumping,1605439946000,Closed,1605627840000,1 Couch,37.34110052,-121.88837165,,,201115-000049,1603058490000,1605679306000,Corner of 5th street and Saint James Couch on corner on sidewalk,IWM-ILDM-0000096348,{4E602778-5ADB-4F98-9027-B2242E87DD19}
76,1594315140000,1595270220000,WO-0000353069,77,87583,87583,2,,Debris & Illegal Dumping,1594289940000,Closed,1595245020000,,37.266349,-121.790342,,,,1598362853000,1600986109000,DEBRIS IN BIKE LANE N/B HELLYER,IWM-ILDM-0000087583,{C9145979-6FC0-402E-BDE8-2D696E25028E}
77,1553625060000,1553625300000,WO-0000208222,78,51819,51819,3,,Debris & Illegal Dumping,1553599860000,Closed,1553600100000,"1 Couch , 1 Other Furniture",37.34961,-121.8859,,,,1598362978000,1600986109000,C/s E. Empire St. couch,IWM-ILDM-0000051819,{8D6B3BAB-64B2-42CE-A99B-84DEC2B4D7FC}
