DATETIMERECEIVEDUTC,DATETIMECOMPLETEDUTC,WORKORDERREFNO,OBJECTID,FACILITYID,INTID,COUNCILDISTRICT,SERVICERECORDID,SERVICECATEGORY,DATETIMERECEIVED,STATUS,DATETIMECOMPLETED,DETAILSUMMARY,LATITUDE,LONGITUDE,IMAGENAME,HYPERLINK,MYSANJOSEREFNO,LASTUPDATETHIRTYDAYS,LASTUPDATE,NOTES,ENTERPRISEID,GlobalID
2019-04-08 10:03:40 America/Los_Angeles,2019-04-11 12:36:00 America/Los_Angeles,WO-0000212157,17,52740,52740,9,310685,Debris & Illegal Dumping,2019-04-08 03:03:40 America/Los_Angeles,Closed,1554989760000,,37.2783121,-121.9323116,,,190408-000226,2020-08-25 05:44:34 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,This is more than just dumping. They try to make this a sale but after the rain it is just tons of junk.,IWM-ILDM-0000052740,{AFA8E22A-D3F1-4D04-AFC0-4A8EBEC9D1C8}
2020-10-27 08:57:00 America/Los_Angeles,2020-10-27 08:59:00 America/Los_Angeles,WO-0000377649,18,95135,95135,7,,Debris & Illegal Dumping,2020-10-27 01:57:00 America/Los_Angeles,Closed,1603792740000,"3 Construction Debris , 2 Garbage",37.29001401,-121.8128711,,,,2020-09-27 04:01:04 America/Los_Angeles,2022-02-11 11:05:15 America/Los_Angeles,Wood and garbage,IWM-ILDM-0000095135,{69FFFDE3-882A-44DF-9B9F-C9817DBB82D2}
2021-10-22 11:03:00 America/Los_Angeles,2021-10-22 11:05:00 America/Los_Angeles,WO-0000466384,19,121649,121649,5,,Debris & Illegal Dumping,2021-10-22 04:03:00 America/Los_Angeles,Closed,1634904300000,4 Garbage,37.363758,-121.828463,,,,2021-09-22 10:01:09 America/Los_Angeles,2021-10-22 17:01:10 America/Los_Angeles,Trash,IWM-ILDM-0000121649,{CCA3C3D6-5A28-42C0-B89A-4C0139AC0507}
2018-07-20 12:31:00 America/Los_Angeles,,WO-0000138130,20,36415,36415,9,190289,Debris & Illegal Dumping,2018-07-20 05:31:00 America/Los_Angeles,Closed,,,37.2502059,-121.9349783,,,180720-000317,2020-08-25 05:49:54 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Residence has 7 or more abandoned vehicles in the backyard as well as illegal dumping of solvents, chemicals, and gasoline.",IWM-ILDM-0000036415,{473AF65C-41A5-4995-9A2F-017219342122}
2021-09-01 19:17:00 America/Los_Angeles,2021-09-02 11:00:00 America/Los_Angeles,WO-0000455813,21,118773,118773,3,814370,Debris & Illegal Dumping,2021-09-01 12:17:00 America/Los_Angeles,Closed,1630584000000,,37.3821556,-121.887792,,,210901-000925,2021-08-03 10:01:11 America/Los_Angeles,2022-02-11 11:05:15 America/Los_Angeles,Between Ringwood and Townsend,IWM-ILDM-0000118773,{CE6FBA33-C024-4362-B8FA-0CE548F29CF6}
2017-05-11 08:37:00 America/Los_Angeles,2017-05-16 09:02:23 America/Los_Angeles,WO-0000035454,22,13737,13737,6,,Debris & Illegal Dumping,2017-05-11 01:37:00 America/Los_Angeles,Closed,1494928943000,,37.314155,-121.910928,,,,2020-08-25 05:39:03 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,2 TV,IWM-ILDM-0000013737,{FA29C3D9-7CE5-459F-A0D1-4FFDEFAE3983}
2017-12-22 11:11:03 America/Los_Angeles,2017-12-28 12:44:00 America/Los_Angeles,WO-0000082001,23,23735,23735,1,96401,Debris & Illegal Dumping,2017-12-22 03:11:03 America/Los_Angeles,Closed,1514465040000,"7 Garbage , 2 Shopping Cart",37.29521561,-121.99675751,,,171222-000172,2020-08-25 05:47:48 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Abandon shopping cart etc at the dead end of Graves Ave by the dog psrk,IWM-ILDM-0000023735,{61BE11A3-45C3-4A5E-BBA7-6C6A984FBC11}
2019-01-26 11:39:00 America/Los_Angeles,2019-01-29 12:00:00 America/Los_Angeles,WO-0000191077,24,48388,48388,7,275060,Debris & Illegal Dumping,2019-01-26 03:39:00 America/Los_Angeles,Closed,1548763200000,,37.31440757,-121.84563931,,,190126-000100,2020-08-25 05:35:53 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,illegal dumping creating rats & critters,IWM-ILDM-0000048388,{1FCFD979-6E8F-400A-BDCA-C1DD4B22DDD8}
2019-01-07 08:46:00 America/Los_Angeles,2019-01-09 11:23:00 America/Los_Angeles,WO-0000185645,25,47205,47205,8,,Debris & Illegal Dumping,2019-01-07 00:46:00 America/Los_Angeles,Closed,1547032980000,,37.335221,-121.828137,,,,2020-08-25 05:49:23 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,someone left a shopping cart sitting in front of his home,IWM-ILDM-0000047205,{3A775496-4D94-463C-91C9-B4AE02BFDC75}
2021-04-01 08:54:00 America/Los_Angeles,2021-04-12 10:31:00 America/Los_Angeles,WO-0000412295,26,104980,104980,7,,Debris & Illegal Dumping,2021-04-01 01:54:00 America/Los_Angeles,Closed,1618227060000,"1 Garbage , 1 General Debris , 2 Yard Waste",37.310654,-121.875682,,,,2021-03-13 14:01:25 America/Los_Angeles,2021-04-12 21:01:37 America/Los_Angeles,"C/S San Jose Ave  pile of debris, baby cribs, fright loading zone between a van.",IWM-ILDM-0000104980,{F8F80D09-6B93-4912-8FBC-D6AB1198F4F8}
2021-05-10 12:50:55 America/Los_Angeles,2021-05-11 09:07:00 America/Los_Angeles,WO-0000423031,27,108048,108048,3,718995,Debris & Illegal Dumping,2021-05-10 05:50:55 America/Los_Angeles,Closed,1620727620000,"1 Garbage , 1 General Debris , 1 Other Furniture , 1 TV Set",37.32922672,-121.87943728,,,210510-000592,2021-04-11 04:01:23 America/Los_Angeles,2021-05-11 11:01:26 America/Los_Angeles,On reed and the alleyway between 5th and 6th,IWM-ILDM-0000108048,{F1AB17DE-17BD-451F-9241-8CAF54844ED6}
2018-08-06 13:06:00 America/Los_Angeles,2018-08-16 13:58:00 America/Los_Angeles,WO-0000143161,28,37689,37689,1,,Debris & Illegal Dumping,2018-08-06 06:06:00 America/Los_Angeles,Closed,1534431480000,2 Couch,37.305637,-121.970839,,,,2020-08-25 05:49:19 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,2 couches on parkstrip,IWM-ILDM-0000037689,{A489537F-685D-4DB2-8CC6-7D10CEA5E91A}
2022-02-10 09:19:34 America/Los_Angeles,2022-02-14 09:53:00 America/Los_Angeles,WO-0000488978,29,127702,127702,3,928123,Debris & Illegal Dumping,2022-02-10 01:19:34 America/Los_Angeles,Closed,1644832380000,,37.3202703,-121.879453,,,220210-000185,2022-01-15 14:01:21 America/Los_Angeles,2022-02-14 22:01:24 America/Los_Angeles,in the red line on the curb: trees and small lumbers.,IWM-ILDM-0000127702,{1CF08CD6-2FB5-4245-B2CB-0D6A0F11504E}
2019-07-24 08:32:33 America/Los_Angeles,2019-08-06 11:48:00 America/Los_Angeles,WO-0000246400,30,60276,60276,3,367266,Debris & Illegal Dumping,2019-07-24 01:32:33 America/Los_Angeles,Closed,1565095680000,,37.3211909,-121.87277924,,,190724-000121,2020-08-25 05:40:11 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Large amount of trash/clothing from homeless people living behind my house in alley way. This keeps happening. I want NO DUMPING /NO LOITERING signs put up, and actually enforced please. The alley is overgrown with weeds and invasive trees that need to be",IWM-ILDM-0000060276,{20E50B7F-4BEF-4C15-935E-3B5CB2E3E4B7}
2018-08-29 11:03:42 America/Los_Angeles,2018-09-19 10:11:00 America/Los_Angeles,WO-0000150405,31,39327,39327,8,210482,Debris & Illegal Dumping,2018-08-29 04:03:42 America/Los_Angeles,Closed,1537355460000,"2 Couch , 1 Other Furniture",37.3076968,-121.8096623,,,180829-000125,2020-08-25 05:46:39 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Fence, chair on the side walk",IWM-ILDM-0000039327,{6E630A6A-2B76-49C0-9B32-1E43323CD1C8}
2021-01-13 14:14:00 America/Los_Angeles,2021-01-13 14:19:00 America/Los_Angeles,WO-0000393442,32,99384,99384,9,,Debris & Illegal Dumping,2021-01-13 06:14:00 America/Los_Angeles,Closed,1610547540000,.3 General Debris,37.26934,-121.910305,,,,2020-12-14 09:01:25 America/Los_Angeles,2021-01-13 17:01:29 America/Los_Angeles,Junk,IWM-ILDM-0000099384,{997DB4F5-1D32-4263-BA92-91CE47379578}
2018-06-01 11:50:03 America/Los_Angeles,2018-06-04 13:26:00 America/Los_Angeles,WO-0000123049,33,32883,32883,3,167890,Debris & Illegal Dumping,2018-06-01 04:50:03 America/Los_Angeles,Closed,1528122360000,,37.33190432,-121.87599756,,,180601-000237,2020-08-25 05:45:49 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Furniture on park strip,IWM-ILDM-0000032883,{E44B0D2A-710A-418A-A63A-2CD965672C7E}
2017-02-07 14:17:00 America/Los_Angeles,2017-02-09 12:00:00 America/Los_Angeles,WO-0000028484,34,11294,11294,8,,Debris & Illegal Dumping,2017-02-07 06:17:00 America/Los_Angeles,Closed,1486641600000,1 General Debris,37.319166,-121.821654,,,,2020-08-25 05:45:24 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,toilet,IWM-ILDM-0000011294,{77EAC1A6-D49B-47C3-9073-FDD258371AA4}
2022-08-19 08:50:36 America/Los_Angeles,2022-08-23 08:50:00 America/Los_Angeles,WO-0000526117,35,139409,139409,7,1074665,Debris & Illegal Dumping,2022-08-19 01:50:36 America/Los_Angeles,Closed,1661248200000,,37.3262505,-121.85486,,,220819-000262,2022-07-24 14:01:29 America/Los_Angeles,2022-08-23 21:01:32 America/Los_Angeles,"Wood, cones, car parts, and construction A-Frames were left on the sidewalk across the street from 837 Mistflower Drive. These items were left here by individuals who left this site. Can we please address this? Thanks!",IWM-ILDM-0000139409,{B4AF8A8C-F411-42F4-8BE7-305FEDAC3B00}
2018-04-10 16:00:23 America/Los_Angeles,2018-04-11 09:42:00 America/Los_Angeles,WO-0000109867,36,29890,29890,4,145536,Debris & Illegal Dumping,2018-04-10 09:00:23 America/Los_Angeles,Closed,1523443320000,1 Couch,37.41269684,-121.87832642,,,180410-000460,2020-08-25 05:33:28 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Old couch/futon,IWM-ILDM-0000029890,{7264F5E8-CBE2-4D57-BDB0-6DC76C99E7FF}
2019-04-09 15:50:06 America/Los_Angeles,2019-04-12 12:09:00 America/Los_Angeles,WO-0000212624,37,52833,52833,5,311593,Debris & Illegal Dumping,2019-04-09 08:50:06 America/Los_Angeles,Closed,1555074540000,"2 Construction Debris , 1 Couch , 5 E-waste, 4 Other Furniture , 2 Yard Waste",37.36327078,-121.82962657,,,190409-000517,2020-08-25 05:44:43 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Dresser Mattresses,IWM-ILDM-0000052833,{FF01BFF8-5C15-484C-8989-34506467EA45}
2021-03-24 09:07:00 America/Los_Angeles,2021-03-24 09:15:00 America/Los_Angeles,WO-0000409975,38,104301,104301,8,,Debris & Illegal Dumping,2021-03-24 02:07:00 America/Los_Angeles,Closed,1616580900000,"2 General Debris , 1 Other Furniture",37.349306,-121.798182,,,,2021-02-22 04:01:15 America/Los_Angeles,2021-03-24 11:01:20 America/Los_Angeles,General debris,IWM-ILDM-0000104301,{1875926E-2C3A-41EE-8D10-A0B5C81C0822}
2019-07-30 16:29:22 America/Los_Angeles,2019-07-31 09:50:00 America/Los_Angeles,WO-0000248589,39,60715,60715,3,371562,Debris & Illegal Dumping,2019-07-30 09:29:22 America/Los_Angeles,Closed,1564570200000,,37.358246,-121.89378798,,,190730-000663,2020-08-25 05:42:34 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Dumped cart at this spot,IWM-ILDM-0000060715,{0A10C298-B357-44E1-97FC-4670604A40A3}
2018-04-03 17:43:44 America/Los_Angeles,2018-04-04 10:51:45 America/Los_Angeles,WO-0000108132,40,29506,29506,7,142588,Debris & Illegal Dumping,2018-04-03 10:43:44 America/Los_Angeles,Closed,1522842705000,3 Garbage,37.3112397,-121.8474102,,,180403-000510,2020-08-25 05:32:53 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,"Bags of trash, clotting, electronics, across the street from 630 Quinn Ave from Pace Supply on sidewalk",IWM-ILDM-0000029506,{46CE722B-B3FF-4875-890B-982382E70C79}
2019-10-10 14:57:48 America/Los_Angeles,2019-10-11 09:50:55 America/Los_Angeles,WO-0000271719,41,65991,65991,3,412632,Debris & Illegal Dumping,2019-10-10 07:57:48 America/Los_Angeles,Closed,1570791055000,1 Refrigerator,37.3493412,-121.8690028,,,191010-000401,2020-08-25 05:46:59 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Fridge,IWM-ILDM-0000065991,{39572F0B-FDB5-49BC-A9A7-073F4455D4E6}
2016-08-17 12:05:00 America/Los_Angeles,2016-08-22 13:10:00 America/Los_Angeles,WO-0000017525,42,7301,7301,7,,Debris & Illegal Dumping,2016-08-17 05:05:00 America/Los_Angeles,Closed,1471875000000,1 Construction Debris,37.311288,-121.868954,,,,2020-08-25 05:46:47 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,P-1   pole in the roadway blocking 1-1/2  lanes-,IWM-ILDM-0000007301,{69B5EF7C-4D62-4EE5-81EE-FAD9EE89D485}
2022-10-16 08:00:43 America/Los_Angeles,2022-10-18 11:00:00 America/Los_Angeles,WO-0000538038,43,142873,142873,8,1119419,Debris & Illegal Dumping,2022-10-16 01:00:43 America/Los_Angeles,Closed,1666094400000,,37.2865921,-121.7759523,,,221016-000052,2022-09-18 14:01:38 America/Los_Angeles,2022-10-18 21:01:40 America/Los_Angeles,"Piles of garbage, tents. Across the street, other side of Silver Creek Valley Rd, along SCV trail",IWM-ILDM-0000142873,{E84C4E0E-6561-4D51-9F45-26180B0DE152}
2020-09-22 15:52:52 America/Los_Angeles,2020-09-25 07:13:00 America/Los_Angeles,WO-0000369347,44,92850,92850,3,603119,Debris & Illegal Dumping,2020-09-22 08:52:52 America/Los_Angeles,Closed,1601021580000,"2 Construction Debris , 15 Garbage , 3 Mattress , 2 General Debris , 5 Other E-waste , 4 Other Furniture , 2 Shopping Cart",37.3618962,-121.8988612,,,200922-000557,2020-08-26 14:03:14 America/Los_Angeles,2020-09-25 21:03:25 America/Los_Angeles,"Large assortment of clothes, shoes, metal, cardboard,  etc. Saw someone from Cupertino Electric dumping this",IWM-ILDM-0000092850,{F80F8DC6-5456-40FE-ADA7-362DB3713082}
2021-08-16 11:20:36 America/Los_Angeles,2021-08-20 11:45:00 America/Los_Angeles,WO-0000451429,45,117705,117705,2,799793,Debris & Illegal Dumping,2021-08-16 04:20:36 America/Los_Angeles,Closed,1629463500000,"1 Garbage , 1 General Debris",37.2662283,-121.7902343,,,210816-000531,2021-07-21 14:01:58 America/Los_Angeles,2021-08-20 21:02:09 America/Los_Angeles,.5 m south of Dove Avenue,IWM-ILDM-0000117705,{99CCB5E5-F743-4169-9EDE-D2887A2F6DE2}
2018-02-08 07:54:37 America/Los_Angeles,,WO-0000093894,46,26290,26290,7,118510,Debris & Illegal Dumping,2018-02-07 23:54:37 America/Los_Angeles,Closed,,,37.29804993,-121.86925507,,,180208-000041,2020-08-25 05:49:41 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Several bags of garbage and a few other items have been here for the last two day. Please pick up. Thank you.,IWM-ILDM-0000026290,{3ABA50E6-B612-405B-9AA4-242B69D98F66}
2020-12-29 12:46:21 America/Los_Angeles,2020-12-30 07:14:00 America/Los_Angeles,WO-0000390282,47,98466,98466,6,641678,Debris & Illegal Dumping,2020-12-29 04:46:21 America/Los_Angeles,Closed,1609312440000,,37.3330218,-121.89754759,,,201229-000304,2020-11-30 00:01:21 America/Los_Angeles,2022-02-11 11:05:15 America/Los_Angeles,Sidewalk on Santa Clara St and Guadalupe Park.  What will it take for Mayor and Raul Peralez to be utterly embarrassed by state of Guadalupe Park. Why do I have to report so often?  Why can’t city proactively maintain this area.  I’ve paid my taxes and ..,IWM-ILDM-0000098466,{41A72B0C-EAFF-4B75-8C94-6A7989D8298B}
2022-04-09 10:33:00 America/Los_Angeles,2022-04-09 10:35:00 America/Los_Angeles,WO-0000500355,48,131134,131134,5,,Debris & Illegal Dumping,2022-04-09 03:33:00 America/Los_Angeles,Closed,1649504100000,2 General Debris,37.3400078,-121.8303283,,,,2022-03-10 04:01:47 America/Los_Angeles,2022-04-09 11:01:50 America/Los_Angeles,General debris,IWM-ILDM-0000131134,{AB5F23EA-9CAA-4103-8647-5D5500B8FD5F}
2020-12-20 16:13:00 America/Los_Angeles,2020-12-20 16:30:00 America/Los_Angeles,WO-0000389058,49,98152,98152,5,,Debris & Illegal Dumping,2020-12-20 08:13:00 America/Los_Angeles,Closed,1608481800000,,37.336028,-121.820007,,,,2020-12-06 14:01:26 America/Los_Angeles,2021-01-05 22:01:33 America/Los_Angeles,trash bag in road,IWM-ILDM-0000098152,{7FFF29E6-B3F0-4424-B3A1-8624576A9F8B}
2018-04-08 13:43:30 America/Los_Angeles,2018-04-16 11:18:00 America/Los_Angeles,WO-0000109228,50,29734,29734,7,144515,Debris & Illegal Dumping,2018-04-08 06:43:30 America/Los_Angeles,Closed,1523881080000,"4 Garbage , 1 General Debris",37.31254196,-121.86395264,,,180408-000141,2020-08-25 05:40:11 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Junk dumped,IWM-ILDM-0000029734,{43385DB5-D5C9-4FF8-AE88-88F38958FB0B}
2018-05-22 10:28:18 America/Los_Angeles,2018-05-29 06:48:00 America/Los_Angeles,WO-0000120565,51,32288,32288,5,163645,Debris & Illegal Dumping,2018-05-22 03:28:18 America/Los_Angeles,Closed,1527580080000,"2 Couch , 2 Other Furniture",37.3519861,-121.8514122,,,180522-000206,2020-08-25 05:49:21 America/Los_Angeles,2020-09-24 14:21:49 America/Los_Angeles,Hello someone dumped small couches in a red zone using it as a dumpster.,IWM-ILDM-0000032288,{AD33E028-F222-4BA0-AC42-9FD98AAB10F4}
2018-05-15 12:52:00 America/Los_Angeles,2018-05-15 13:20:35 America/Los_Angeles,WO-0000118709,52,31930,31930,2,,Debris & Illegal Dumping,2018-05-15 05:52:00 America/Los_Angeles,Closed,1526394035000,1 Couch,37.256586,-121.840137,,,,2020-08-25 05:46:34 America/Los_Angeles,2022-02-11 11:05:15 America/Los_Angeles,cs Avenida Manzanos couch on sidewalk rp has video that she will email in to imwcompliance@sanjoseca.gov,IWM-ILDM-0000031930,{0E857245-5796-46D9-91F3-E3661457E197}
